,0,1,2,3,4,5,6,7,8,9,10,11
113,0,,,,,,,,,,,
114,0,19.99910855293274,,,,,,,,,,
115,0,7.972484827041626,15.748075723648071,21.127442598342896,26.318003177642822,,,,,,,
116,0,10.311065912246704,16.12344765663147,17.579983472824097,23.193312168121338,30.11342740058899,,,,,,
117,0,16.4452121257782,18.162626028060913,,,,,,,,,
118,0,,,,,,,,,,,
119,0,,,,,,,,,,,
120,0,,,,,,,,,,,
121,0,6.016646385192871,23.383995532989502,,,,,,,,,
122,0,,,,,,,,,,,
123,0,,,,,,,,,,,
124,0,,,,,,,,,,,
125,0,,,,,,,,,,,
126,0,,,,,,,,,,,
127,0,,,,,,,,,,,
128,0,,,,,,,,,,,
129,0,,,,,,,,,,,
130,0,,,,,,,,,,,
131,0,,,,,,,,,,,
132,0,,,,,,,,,,,
133,0,,,,,,,,,,,
134,0,,,,,,,,,,,
135,0,,,,,,,,,,,
136,0,,,,,,,,,,,
137,0,,,,,,,,,,,
138,0,,,,,,,,,,,
139,0,,,,,,,,,,,
140,0,,,,,,,,,,,
141,0,,,,,,,,,,,
142,0,,,,,,,,,,,
143,0,,,,,,,,,,,
144,0,,,,,,,,,,,
145,0,,,,,,,,,,,
146,0,,,,,,,,,,,
147,0,,,,,,,,,,,
148,0,,,,,,,,,,,
149,0,,,,,,,,,,,
150,0,,,,,,,,,,,
151,0,,,,,,,,,,,
152,0,,,,,,,,,,,
153,0,,,,,,,,,,,
154,0,,,,,,,,,,,
155,0,,,,,,,,,,,
156,0,,,,,,,,,,,
157,0,,,,,,,,,,,
158,0,,,,,,,,,,,
159,0,,,,,,,,,,,
160,0,,,,,,,,,,,
161,0,,,,,,,,,,,
162,0,,,,,,,,,,,
163,0,,,,,,,,,,,
164,0,,,,,,,,,,,
165,0,,,,,,,,,,,
166,0,,,,,,,,,,,
167,0,,,,,,,,,,,
168,0,,,,,,,,,,,
169,0,,,,,,,,,,,
170,0,,,,,,,,,,,
171,0,,,,,,,,,,,
172,0,,,,,,,,,,,
173,0,,,,,,,,,,,
174,0,,,,,,,,,,,
175,0,,,,,,,,,,,
176,0,,,,,,,,,,,
177,0,,,,,,,,,,,
178,0,,,,,,,,,,,
179,0,,,,,,,,,,,
180,0,,,,,,,,,,,
181,0,,,,,,,,,,,
182,0,,,,,,,,,,,
183,0,,,,,,,,,,,
184,0,,,,,,,,,,,
185,0,,,,,,,,,,,
186,0,,,,,,,,,,,
187,0,,,,,,,,,,,
188,0,,,,,,,,,,,
189,0,,,,,,,,,,,
190,0,,,,,,,,,,,
191,0,,,,,,,,,,,
192,0,,,,,,,,,,,
193,0,,,,,,,,,,,
194,0,,,,,,,,,,,
195,0,,,,,,,,,,,
196,0,,,,,,,,,,,
197,0,,,,,,,,,,,
198,0,,,,,,,,,,,
199,0,,,,,,,,,,,
200,0,,,,,,,,,,,
201,0,,,,,,,,,,,
202,0,,,,,,,,,,,
203,0,,,,,,,,,,,
204,0,,,,,,,,,,,
205,0,,,,,,,,,,,
206,0,,,,,,,,,,,
207,0,,,,,,,,,,,
208,0,,,,,,,,,,,
209,0,,,,,,,,,,,
210,0,,,,,,,,,,,
211,0,,,,,,,,,,,
212,0,,,,,,,,,,,
213,0,,,,,,,,,,,
214,0,,,,,,,,,,,
215,0,,,,,,,,,,,
216,0,,,,,,,,,,,
217,0,,,,,,,,,,,
218,0,,,,,,,,,,,
219,0,,,,,,,,,,,
220,0,,,,,,,,,,,
221,0,,,,,,,,,,,
222,0,,,,,,,,,,,
223,0,,,,,,,,,,,
224,0,,,,,,,,,,,
225,0,,,,,,,,,,,
226,0,,,,,,,,,,,
227,0,,,,,,,,,,,
228,0,,,,,,,,,,,
229,0,,,,,,,,,,,
230,0,,,,,,,,,,,
231,0,,,,,,,,,,,
232,0,,,,,,,,,,,
233,0,,,,,,,,,,,
234,0,,,,,,,,,,,
235,0,,,,,,,,,,,
236,0,,,,,,,,,,,
237,0,,,,,,,,,,,
238,0,,,,,,,,,,,
239,0,,,,,,,,,,,
240,0,,,,,,,,,,,
241,0,,,,,,,,,,,
242,0,,,,,,,,,,,
243,0,,,,,,,,,,,
244,0,,,,,,,,,,,
245,0,,,,,,,,,,,
246,0,,,,,,,,,,,
247,0,,,,,,,,,,,
248,0,,,,,,,,,,,
249,0,,,,,,,,,,,
250,0,,,,,,,,,,,
251,0,,,,,,,,,,,
252,0,,,,,,,,,,,
253,0,,,,,,,,,,,
254,0,,,,,,,,,,,
255,0,,,,,,,,,,,
